/*k = nの場合でのZDD構築時間計測*/
n = 1, times = 0.036[ms]
n = 2, times = 0.018[ms]
n = 3, times = 0.021[ms]
n = 4, times = 0.027[ms]
n = 5, times = 0.035[ms]
n = 6, times = 0.039[ms]
n = 7, times = 0.058[ms]
n = 8, times = 0.086[ms]
n = 9, times = 0.141[ms]
n = 10, times = 0.179[ms]
n = 11, times = 0.246[ms]
n = 12, times = 0.325[ms]
n = 13, times = 0.449[ms]
n = 14, times = 0.565[ms]
n = 15, times = 0.725[ms]
n = 16, times = 0.93[ms]
n = 17, times = 1.174[ms]
n = 18, times = 1.438[ms]
n = 19, times = 1.815[ms]
n = 20, times = 1.561[ms]
n = 21, times = 1.332[ms]
n = 22, times = 1.625[ms]
n = 23, times = 1.924[ms]
n = 24, times = 2.269[ms]
n = 25, times = 2.689[ms]
n = 26, times = 3.153[ms]
n = 27, times = 3.643[ms]
n = 28, times = 4.153[ms]
n = 29, times = 4.871[ms]
n = 30, times = 5.537[ms]
n = 31, times = 6.349[ms]
n = 32, times = 7.147[ms]
n = 33, times = 8.198[ms]
n = 34, times = 9.644[ms]
n = 35, times = 10.159[ms]
n = 36, times = 11.221[ms]
n = 37, times = 13.236[ms]
n = 38, times = 14.187[ms]
n = 39, times = 15.704[ms]
n = 40, times = 17.562[ms]
n = 41, times = 20.154[ms]
n = 42, times = 21.673[ms]
n = 43, times = 23.234[ms]
n = 44, times = 26.229[ms]
n = 45, times = 28.149[ms]
n = 46, times = 30.792[ms]
n = 47, times = 33.387[ms]
n = 48, times = 36.379[ms]
n = 49, times = 40.361[ms]
n = 50, times = 43.486[ms]
n = 51, times = 46.659[ms]
n = 52, times = 50.71[ms]
n = 53, times = 55.603[ms]
n = 54, times = 59.439[ms]
n = 55, times = 64.212[ms]
n = 56, times = 69.174[ms]
n = 57, times = 75.425[ms]
n = 58, times = 80.602[ms]
n = 59, times = 89.595[ms]
n = 60, times = 91.675[ms]
n = 61, times = 99.826[ms]
n = 62, times = 106.112[ms]
n = 63, times = 112.958[ms]
n = 64, times = 123.529[ms]
n = 65, times = 132.503[ms]
n = 66, times = 142.228[ms]
n = 67, times = 151.216[ms]
n = 68, times = 160.231[ms]
n = 69, times = 176.981[ms]
n = 70, times = 177.122[ms]
n = 71, times = 188.591[ms]
n = 72, times = 198.429[ms]
n = 73, times = 214.227[ms]
n = 74, times = 226.926[ms]
n = 75, times = 237.303[ms]
n = 76, times = 250.152[ms]
n = 77, times = 265.91[ms]
n = 78, times = 279.689[ms]
n = 79, times = 294.896[ms]
n = 80, times = 309.446[ms]
n = 81, times = 331.54[ms]
n = 82, times = 346.489[ms]
n = 83, times = 362.81[ms]
n = 84, times = 380.219[ms]
n = 85, times = 405.906[ms]
n = 86, times = 424.058[ms]
n = 87, times = 443.828[ms]
n = 88, times = 464.825[ms]
n = 89, times = 492.389[ms]
n = 90, times = 515.806[ms]
n = 91, times = 538.129[ms]
n = 92, times = 561.981[ms]
n = 93, times = 599.066[ms]
n = 94, times = 622.321[ms]
n = 95, times = 649.458[ms]
n = 96, times = 671.369[ms]
n = 97, times = 712.395[ms]
n = 98, times = 743.353[ms]
n = 99, times = 772.576[ms]
n = 100, times = 807.043[ms]
