/*n = 100, kを可変で、構築時間計測*/
k = 1, times = 6.767[ms]
k = 2, times = 59.639[ms]
k = 3, times = 96.136[ms]
k = 4, times = 130.271[ms]
k = 5, times = 162.035[ms]
k = 6, times = 189.799[ms]
k = 7, times = 215.315[ms]
k = 8, times = 243.004[ms]
k = 9, times = 268.621[ms]
k = 10, times = 291.75[ms]
k = 11, times = 313.068[ms]
k = 12, times = 333.672[ms]
k = 13, times = 354.04[ms]
k = 14, times = 374.093[ms]
k = 15, times = 398.509[ms]
k = 16, times = 414.992[ms]
k = 17, times = 434.669[ms]
k = 18, times = 453.02[ms]
k = 19, times = 468.734[ms]
k = 20, times = 484.747[ms]
k = 21, times = 500.156[ms]
k = 22, times = 514.581[ms]
k = 23, times = 530.572[ms]
k = 24, times = 544.763[ms]
k = 25, times = 558.066[ms]
k = 26, times = 570.335[ms]
k = 27, times = 584.208[ms]
k = 28, times = 595.352[ms]
k = 29, times = 605.036[ms]
k = 30, times = 618.927[ms]
k = 31, times = 629.464[ms]
k = 32, times = 635.56[ms]
k = 33, times = 649.273[ms]
k = 34, times = 656.421[ms]
k = 35, times = 664.88[ms]
k = 36, times = 673.971[ms]
k = 37, times = 681.559[ms]
k = 38, times = 691.732[ms]
k = 39, times = 695.966[ms]
k = 40, times = 703.48[ms]
k = 41, times = 714.21[ms]
k = 42, times = 714.3[ms]
k = 43, times = 720.909[ms]
k = 44, times = 728.014[ms]
k = 45, times = 731.748[ms]
k = 46, times = 738.086[ms]
k = 47, times = 742.092[ms]
k = 48, times = 746.023[ms]
k = 49, times = 749.798[ms]
k = 50, times = 757.996[ms]
k = 51, times = 759.367[ms]
k = 52, times = 763.479[ms]
k = 53, times = 765.349[ms]
k = 54, times = 768.395[ms]
k = 55, times = 771.065[ms]
k = 56, times = 779.098[ms]
k = 57, times = 780.065[ms]
k = 58, times = 797.01[ms]
k = 59, times = 799.674[ms]
k = 60, times = 782.565[ms]
k = 61, times = 784.083[ms]
k = 62, times = 787.169[ms]
k = 63, times = 789.069[ms]
k = 64, times = 791.128[ms]
k = 65, times = 794.622[ms]
k = 66, times = 792.86[ms]
k = 67, times = 796.802[ms]
k = 68, times = 798.342[ms]
k = 69, times = 797.201[ms]
k = 70, times = 797.141[ms]
k = 71, times = 796.231[ms]
k = 72, times = 797.78[ms]
k = 73, times = 800.878[ms]
k = 74, times = 797.549[ms]
k = 75, times = 802.421[ms]
k = 76, times = 805.501[ms]
k = 77, times = 804.041[ms]
k = 78, times = 800.92[ms]
k = 79, times = 802.26[ms]
k = 80, times = 802.111[ms]
k = 81, times = 807.323[ms]
k = 82, times = 805.285[ms]
k = 83, times = 803.172[ms]
k = 84, times = 803.526[ms]
k = 85, times = 804.626[ms]
k = 86, times = 813.714[ms]
k = 87, times = 828.065[ms]
k = 88, times = 815.466[ms]
k = 89, times = 815.963[ms]
k = 90, times = 810.523[ms]
k = 91, times = 805.838[ms]
k = 92, times = 803.558[ms]
k = 93, times = 816.255[ms]
k = 94, times = 804.391[ms]
k = 95, times = 814.914[ms]
k = 96, times = 804.587[ms]
k = 97, times = 811.552[ms]
k = 98, times = 808.914[ms]
k = 99, times = 811.275[ms]
k = 100, times = 805.002[ms]
