/*n = 100, kを可変で、構築時間計測*/
k = 1, zdd size:9899
k = 2, zdd size:286798
k = 3, zdd size:496318
k = 4, zdd size:675734
k = 5, zdd size:838844
k = 6, zdd size:991181
k = 7, zdd size:1135443
k = 8, zdd size:1272883
k = 9, zdd size:1404577
k = 10, zdd size:1530944
k = 11, zdd size:1652504
k = 12, zdd size:1769428
k = 13, zdd size:1881978
k = 14, zdd size:1990605
k = 15, zdd size:2094933
k = 16, zdd size:2195691
k = 17, zdd size:2292591
k = 18, zdd size:2385902
k = 19, zdd size:2475892
k = 20, zdd size:2562454
k = 21, zdd size:2645574
k = 22, zdd size:2725613
k = 23, zdd size:2802649
k = 24, zdd size:2876759
k = 25, zdd size:2947829
k = 26, zdd size:3015934
k = 27, zdd size:3081338
k = 28, zdd size:3144114
k = 29, zdd size:3204334
k = 30, zdd size:3262069
k = 31, zdd size:3317389
k = 32, zdd size:3370363
k = 33, zdd size:3420963
k = 34, zdd size:3469160
k = 35, zdd size:3515212
k = 36, zdd size:3559184
k = 37, zdd size:3601140
k = 38, zdd size:3641143
k = 39, zdd size:3679255
k = 40, zdd size:3715537
k = 41, zdd size:3750049
k = 42, zdd size:3782850
k = 43, zdd size:3813998
k = 44, zdd size:3843550
k = 45, zdd size:3871562
k = 46, zdd size:3898089
k = 47, zdd size:3923185
k = 48, zdd size:3946903
k = 49, zdd size:3969295
k = 50, zdd size:3990218
k = 51, zdd size:4009916
k = 52, zdd size:4028438
k = 53, zdd size:4045832
k = 54, zdd size:4062145
k = 55, zdd size:4077423
k = 56, zdd size:4091711
k = 57, zdd size:4105053
k = 58, zdd size:4117492
k = 59, zdd size:4129070
k = 60, zdd size:4139828
k = 61, zdd size:4149806
k = 62, zdd size:4159043
k = 63, zdd size:4167577
k = 64, zdd size:4175445
k = 65, zdd size:4182683
k = 66, zdd size:4189326
k = 67, zdd size:4195408
k = 68, zdd size:4200962
k = 69, zdd size:4206020
k = 70, zdd size:4210613
k = 71, zdd size:4214771
k = 72, zdd size:4218523
k = 73, zdd size:4221897
k = 74, zdd size:4224920
k = 75, zdd size:4227618
k = 76, zdd size:4230016
k = 77, zdd size:4232138
k = 78, zdd size:4234007
k = 79, zdd size:4235645
k = 80, zdd size:4237073
k = 81, zdd size:4238311
k = 82, zdd size:4239378
k = 83, zdd size:4240292
k = 84, zdd size:4241070
k = 85, zdd size:4241728
k = 86, zdd size:4242281
k = 87, zdd size:4242743
k = 88, zdd size:4243127
k = 89, zdd size:4243445
k = 90, zdd size:4243708
k = 91, zdd size:4243926
k = 92, zdd size:4244108
k = 93, zdd size:4244262
k = 94, zdd size:4244395
k = 95, zdd size:4244513
k = 96, zdd size:4244621
k = 97, zdd size:4244723
k = 98, zdd size:4244822
k = 99, zdd size:4244822
k = 100, zdd size:4244822
