/*k = nの場合でのZDDサイズ計測*/
n = 1, zdd size:0
n = 2, zdd size:1
n = 3, zdd size:5
n = 4, zdd size:11
n = 5, zdd size:28
n = 6, zdd size:64
n = 7, zdd size:116
n = 8, zdd size:195
n = 9, zdd size:309
n = 10, zdd size:467
n = 11, zdd size:679
n = 12, zdd size:956
n = 13, zdd size:1310
n = 14, zdd size:1754
n = 15, zdd size:2302
n = 16, zdd size:2969
n = 17, zdd size:3771
n = 18, zdd size:4725
n = 19, zdd size:5849
n = 20, zdd size:7162
n = 21, zdd size:8684
n = 22, zdd size:10436
n = 23, zdd size:12440
n = 24, zdd size:14719
n = 25, zdd size:17297
n = 26, zdd size:20199
n = 27, zdd size:23451
n = 28, zdd size:27080
n = 29, zdd size:31114
n = 30, zdd size:35582
n = 31, zdd size:40514
n = 32, zdd size:45941
n = 33, zdd size:51895
n = 34, zdd size:58409
n = 35, zdd size:65517
n = 36, zdd size:73254
n = 37, zdd size:81656
n = 38, zdd size:90760
n = 39, zdd size:100604
n = 40, zdd size:111227
n = 41, zdd size:122669
n = 42, zdd size:134971
n = 43, zdd size:148175
n = 44, zdd size:162324
n = 45, zdd size:177462
n = 46, zdd size:193634
n = 47, zdd size:210886
n = 48, zdd size:229265
n = 49, zdd size:248819
n = 50, zdd size:269597
n = 51, zdd size:291649
n = 52, zdd size:315026
n = 53, zdd size:339780
n = 54, zdd size:365964
n = 55, zdd size:393632
n = 56, zdd size:422839
n = 57, zdd size:453641
n = 58, zdd size:486095
n = 59, zdd size:520259
n = 60, zdd size:556192
n = 61, zdd size:593954
n = 62, zdd size:633606
n = 63, zdd size:675210
n = 64, zdd size:718829
n = 65, zdd size:764527
n = 66, zdd size:812369
n = 67, zdd size:862421
n = 68, zdd size:914750
n = 69, zdd size:969424
n = 70, zdd size:1026512
n = 71, zdd size:1086084
n = 72, zdd size:1148211
n = 73, zdd size:1212965
n = 74, zdd size:1280419
n = 75, zdd size:1350647
n = 76, zdd size:1423724
n = 77, zdd size:1499726
n = 78, zdd size:1578730
n = 79, zdd size:1660814
n = 80, zdd size:1746057
n = 81, zdd size:1834539
n = 82, zdd size:1926341
n = 83, zdd size:2021545
n = 84, zdd size:2120234
n = 85, zdd size:2222492
n = 86, zdd size:2328404
n = 87, zdd size:2438056
n = 88, zdd size:2551535
n = 89, zdd size:2668929
n = 90, zdd size:2790327
n = 91, zdd size:2915819
n = 92, zdd size:3045496
n = 93, zdd size:3179450
n = 94, zdd size:3317774
n = 95, zdd size:3460562
n = 96, zdd size:3607909
n = 97, zdd size:3759911
n = 98, zdd size:3916665
n = 99, zdd size:4078269
n = 100, zdd size:4244822
